mean_test_MAE,std_test_MAE,params,n_estimators,max_depth,min_samples_split,min_samples_leaf,max_features
99276168.60276067,4739739.509274265,"{'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'log2', 'max_depth': 20}",100,20.0,2,1,log2
99665860.38364002,4639775.334660042,"{'n_estimators': 500, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 30}",500,30.0,2,1,sqrt
100017756.5703207,3518968.6223619785,"{'n_estimators': 500, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 1.0, 'max_depth': 20}",500,20.0,2,1,1.0
101174612.98169489,3288167.1657357793,"{'n_estimators': 500, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 1.0, 'max_depth': None}",500,,5,1,1.0
101424661.91061881,3162359.3162139826,"{'n_estimators': 100, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 1.0, 'max_depth': 30}",100,30.0,5,1,1.0
104457517.69492227,3551986.157683158,"{'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 1.0, 'max_depth': 30}",200,30.0,2,2,1.0
104613547.14567456,3853928.594769362,"{'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 1.0, 'max_depth': 20}",100,20.0,2,2,1.0
107901721.64506555,4043277.96920216,"{'n_estimators': 500, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 'log2', 'max_depth': 20}",500,20.0,10,1,log2
108442993.86980124,4049591.9641855033,"{'n_estimators': 200, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 'log2', 'max_depth': 30}",200,30.0,10,1,log2
111644744.81231129,3946846.156805969,"{'n_estimators': 200, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_features': 'log2', 'max_depth': 20}",200,20.0,10,2,log2
116033451.82616529,4160985.7596402736,"{'n_estimators': 500, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 30}",500,30.0,10,2,sqrt
116874994.79744287,4637852.380341313,"{'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': 'log2', 'max_depth': 20}",100,20.0,2,4,log2
117394972.96806076,5135331.454967135,"{'n_estimators': 100, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 'log2', 'max_depth': 20}",100,20.0,10,4,log2
117541019.3143094,4517460.8960884735,"{'n_estimators': 500, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 'log2', 'max_depth': None}",500,,10,4,log2
124038515.05771002,4914402.642471429,"{'n_estimators': 500, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_depth': None}",500,,5,4,sqrt
124094789.26277086,3922557.890943938,"{'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_depth': 30}",100,30.0,2,4,sqrt
125406980.02294484,4541139.082023459,"{'n_estimators': 100, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_depth': 30}",100,30.0,10,4,sqrt
126339912.23896912,4421748.988505063,"{'n_estimators': 500, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 10}",500,10.0,5,1,sqrt
130459609.66587305,4707389.261061205,"{'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 10}",100,10.0,2,2,sqrt
139790252.3756082,4914236.915241782,"{'n_estimators': 200, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_depth': 10}",200,10.0,10,4,sqrt
