URL,Merk,Model,Harga,Tahun Produksi,Jarak Tempuh,Warna,ABS/EBD,Aspiration,Assembled,Auto parking,Aux,Bluetooth,Boot Space (litres),CD,CO2 Emission,Cruise control,Curtain Airbags,Direct Injection,Doors,Engine CC,Engine start,Front Airbags,Front Brakes,Front Rim (inches),Front Suspension,Front Thread,Front Tyre,Fuel Consumption (L/100km),Fuel Tank (litres),Fuel Type,Gear Type,Height (mm),Immobilizer,Kerb Weight (kg),Length (mm),Number of Gears,Other,Parking sensor,Peak Power (hp),Peak Torque (Nm),Radio,Rear Brakes,Rear Rim (inches),Rear Suspension,Rear Thread,Rear Tyre,Seat Capacity,Seat belts,Side Airbags,Stability control,Steering Turn,Steering Type,Top Speed (km/h),Transmission,USB,Wheel Base (mm),Width (mm),Error
https://www.carmudi.co.id/en/for-sale/bentley-continental-gt-speed-dki-jakarta-kebon-jeruk/17914195,Bentley,Continental Gt Speed,1675000000,2010,7500,Black,ABS,Turbocharged,,,,Bluetooth,370,CD Player,396,Cruise Control,,Fuel Injection,2,5998,Starter Button,,Ventilated Discs,20,Double Wishbone,1623,275/35 R20,16.6,90,Petrol,6-speed Automatic,1380,Engine Immobiliser,2350,4804,6,,Park Distance Control - Rear,610,750,Radio - Analogue,Ventilated Discs,20,Multi-Link,1607,275/35 R20,4,,Airbags - Side for 1st Row,Electronic Stability Control,11.2,Rack and pinion,326,Automatic,Audio - Aux Input USB Socket,2745,2102,
https://www.carmudi.co.id/en/for-sale/aston-martin-virage-dki-jakarta-kebon-jeruk/17914153,Aston,Martin Virage,2750000000,2012,2500,Black,ABS,Naturally Aspirated,,Parking Assistance - Fully Automated,Audio - Aux Input Socket (MP3/CD/Cassette),Bluetooth,184,CD Player,349,Cruise Control,,Direct FI,2,5935,Starter Button,Airbag - Passenger,Ventilated Discs,20,Double Wishbone,1586,245/35 R20,15,78,Petrol,6-speed Automatic,1282,Engine Immobiliser,1785,4703,6,,Park Distance Control - Rear,497,570,Radio - Analogue,Ventilated Discs,20,Double Wishbone,1581,295/30 R 20,2,,,Electronic Stability Control,11.6,Rack and pinion,299,Automatic,Audio - Aux Input USB Socket,2740,1904,
https://www.carmudi.co.id/en/for-sale/audi-q7-tfsi-quattro-dki-jakarta-kebon-jeruk/17913772,Audi,Q7 Tfsi Quattro,565000000,2015,37500,Black,ABS,Supercharged,,Parking Assistance - Fully Automated,Audio - Aux Input Socket (MP3/CD/Cassette),Bluetooth,770,CD Player,193,Cruise Control,Airbags - Head for 1st Row,Direct FI,5,2995,,,Ventilated Discs,20,Multi-link with Air Suspension,1679,285/45 R20,8.3,85,Petrol,8-speed Tiptronic,1741,Engine Immobiliser,2030,5052,8,,Park Distance Control - Rear,333,440,Radio - Analogue,Ventilated Discs,20,Multi-link with Air Suspension,1691,285/45 R20,7,Seatbelt - Pretensioners 1st Row (Front),,Electronic Stability Control,12.1,Rack and pinion,250,Automatic,Audio - Aux Input USB Socket,2212,1968,
https://www.carmudi.co.id/en/for-sale/honda-cr-v-turbo-prestige-dki-jakarta-cilandak/17901193,Honda,Cr V Turbo Prestige,335000000,2019,82500,Grey,ABS,Turbocharged,,,,Bluetooth,,,,Cruise Control,Airbags - Head for 1st Row,,5,1498,Starter Button,,Ventilated Discs,18,MacPherson Strut,1598,235/60,,,Petrol,CVT,1679,Engine Immobiliser,,4585,,,,190,240,Radio - Analogue,Discs,18,Multi-Link,1613,235/60,5,,,Electronic Stability Control,,Rack and Pinion,,Automatic,Audio - Aux Input USB Socket,2660,1855,
https://www.carmudi.co.id/en/for-sale/bmw-330i-m-sport-dki-jakarta-cibubur/17913381,Bmw,330I M Sport,550000000,2016,37500,Blue,ABS,Turbocharged,,,Audio - Aux Input Socket (MP3/CD/Cassette),Bluetooth,,CD Player,,Cruise Control,,Direct FI,4,1998,,,Ventilated Discs,19,Mcpherson strut,,225/40 R19,,60,Petrol,Automatic,1429,,,4633,8,,Park Distance Control - Rear,252,350,Radio - Analogue,Ventilated Discs,19,Multilink,,255/35 R19,5,,Airbags - Side for 1st Row,,,Rack and Pinion,250,Automatic,Audio - Aux Input USB Socket,2810,2031,
https://www.carmudi.co.id/en/for-sale/mercedes-benz-c300-amg-line-dki-jakarta-sunter/17913276,Mercedes,Benz C300 Amg Line,945000000,2023,7500,Black,,Turbocharged,,Parking Assistance - Fully Automated,,Bluetooth,,,168,,,Direct Injection,4,1999,Starter Button,,Ventilated Discs,18,McPherson Strut,,225/45HR18,7.4,66,Petrol,9G-Tronic Automatic,1446,,1675,4793,9,,,258,400,,Discs,18,Multi-link,,245/40HR18,5,,,,11.5,Rack and Pinion,250,Automatic,Audio - Aux Input USB Socket,2865,2054,
https://www.carmudi.co.id/en/for-sale/mercedes-benz-c300-amg-line-dki-jakarta-sunter/17913187,Mercedes,Benz C300 Amg Line,1045000000,2024,2500,Black,,Turbocharged,,Parking Assistance - Fully Automated,,Bluetooth,,,168,,,Direct Injection,4,1999,Starter Button,,Ventilated Discs,18,McPherson Strut,,225/45HR18,7.4,66,Petrol,9G-Tronic Automatic,1446,,1675,4793,9,,,258,400,,Discs,18,Multi-link,,245/40HR18,5,,,,11.5,Rack and Pinion,250,Automatic,Audio - Aux Input USB Socket,2865,2054,
https://www.carmudi.co.id/en/for-sale/lexus-rx-300-luxury-dki-jakarta-bintaro/17911478,Lexus,Rx 300 Luxury,895000000,2020,7500,Black,,Turbocharged,,,,,,,,,,,5,1998,,,Ventilated Discs,20,Independent MacPherson Strut,,235/55 R20,,,Petrol,6-Speed Automatic,1690,,1890,4890,6,,,235,350,,Ventilated Discs,20,Independent Double Wishbone,,235/55 R20,5,,,,,,200,Automatic,,2790,1895,
https://www.carmudi.co.id/en/for-sale/suzuki-grand-vitara-gx-dki-jakarta-mangga-dua/17911448,Suzuki,Grand Vitara Gx,275000000,2023,22500,Silver,ABS,Naturally Aspirated,,,,,,,,Cruise Control,,,5,1462,,Airbag - Passenger,Ventilated Discs,17,mac pherson strut,1530,,,,Hybrid,6 speed automatic,1645,,1210,4345,6,,Park Distance Control - Rear,101,137,Radio - Analogue,Discs,17,torsion bar,1535,,5,,,,5.4,electric power steering,,Automatic,Audio - Aux Input USB Socket,2600,1795,
https://www.carmudi.co.id/en/for-sale/mini-countryman-cooper-s-dki-jakarta-bintaro/17911413,Mini,Countryman Cooper S,795000000,2024,2500,White,ABS,Turbocharged,Official Import,,,Bluetooth,450,,153,Cruise Control,Airbags - Head for 1st Row,,5,1998,,,Discs,18,,,,6.7,51,Petrol,7-Speed DCT,1557,Engine Immobiliser,,4299,7,,,192,280,Radio - Analogue,Discs,18,,,,5,,,Electronic Stability Control,,,226,Automatic,Audio - Aux Input USB Socket,,2001,
https://www.carmudi.co.id/en/for-sale/honda-cr-v-turbo-prestige-dki-jakarta-mangga-dua/17911312,Honda,Cr V Turbo Prestige,389000000,2021,42500,Black,ABS,Turbocharged,,,,Bluetooth,,,,Cruise Control,Airbags - Head for 1st Row,,5,1498,Starter Button,,Ventilated Discs,"18 x 7,5J",MacPherson Strut,1598,235/60 R18 103H,,,Petrol,CVT with Earth Dreams Technology,1657,,,4623,,,,190,240,Radio - Analogue,Solid disk,"18 x 7,5J",Multi-Link,1613,235/60 R18 103H,5,,,Electronic Stability Control,,Rack & Pinion,,Automatic,Audio - Aux Input USB Socket,2660,1855,
https://www.carmudi.co.id/en/for-sale/mini-cooper-s-3-door-dki-jakarta-bintaro/17751156,Mini,Cooper S 3 Door,695000000,2022,2500,White,ABS,Turbocharged,,,,Bluetooth,,,138,Cruise Control,Airbags - Head for 1st Row,,3,1998,,,Discs,16,,,,6.1,44,Petrol,,1414,Engine Immobiliser,,3876,,,,178,280,Radio - Analogue,Discs,16,,,,4,,,,,,235,Automatic,Audio - Aux Input USB Socket,,1928,
