Merk,Model,Tahun Produksi,Jarak Tempuh,Warna,Engine CC,Transmission,Seat Capacity,Harga,Fuel Type,Umur Mobil
Bentley,Continental,2010.0,7500.0,Black,5998.0,Automatic,4.0,1675000000.0,Petrol,15.0
Aston,Martin,2012.0,2500.0,Black,5935.0,Automatic,2.0,2750000000.0,Petrol,13.0
Audi,Q7,2015.0,37500.0,Black,2995.0,Automatic,7.0,565000000.0,Petrol,10.0
Honda,Cr,2019.0,82500.0,Grey,1498.0,Automatic,5.0,335000000.0,Petrol,6.0
Bmw,330I,2016.0,37500.0,Blue,1998.0,Automatic,5.0,550000000.0,Petrol,9.0
Mercedes,Benz,2023.0,7500.0,Black,1999.0,Automatic,5.0,945000000.0,Petrol,2.0
Mercedes,Benz,2024.0,2500.0,Black,1999.0,Automatic,5.0,1045000000.0,Petrol,1.0
Lexus,Rx,2020.0,7500.0,Black,1998.0,Automatic,5.0,895000000.0,Petrol,5.0
Suzuki,Grand,2023.0,22500.0,Silver,1462.0,Automatic,5.0,275000000.0,Hybrid,2.0
Mini,Countryman,2024.0,2500.0,White,1998.0,Automatic,5.0,795000000.0,Petrol,1.0
Honda,Cr,2021.0,42500.0,Black,1498.0,Automatic,5.0,389000000.0,Petrol,4.0
Mini,Cooper,2022.0,2500.0,White,1998.0,Automatic,4.0,695000000.0,Petrol,3.0
Toyota,Hiace,2023.0,12500.0,White,2755.0,Manual,12.0,630000000.0,Diesel,2.0
Honda,Hr,2022.0,32500.0,Grey,1498.0,Automatic,5.0,335000000.0,Petrol,3.0
Toyota,Sienta,2019.0,27500.0,Black,1497.0,Automatic,7.0,179000000.0,Petrol,6.0
Honda,Hr,2018.0,37500.0,Red,1497.0,Automatic,5.0,199000000.0,Petrol,7.0
Daihatsu,Sigra,2019.0,49500.0,Silver,1197.0,Manual,7.0,103000000.0,Petrol,6.0
Mazda,Cx,2023.0,7500.0,White,1496.0,Automatic,5.0,299000000.0,Petrol,2.0
Daihatsu,Sigra,2024.0,14550.0,Black,998.0,Manual,7.0,112000000.0,Petrol,1.0
Toyota,Fortuner,2020.0,67500.0,White,2393.0,Automatic,7.0,408000000.0,Diesel,5.0
Suzuki,Xl7,2023.0,12500.0,White,1500.0,Automatic,7.0,215000000.0,Hybrid,2.0
Hyundai,Creta,2022.0,7500.0,Blue,1497.0,Automatic,5.0,258000000.0,Petrol,3.0
Nissan,Terra,2019.0,77500.0,Black,2488.0,Automatic,7.0,265000000.0,Diesel,6.0
Suzuki,Ertiga,2018.0,17500.0,Grey,1373.0,Automatic,7.0,155000000.0,Petrol,7.0
Hyundai,Creta,2024.0,17500.0,Black,1497.0,Automatic,5.0,306000000.0,Petrol,1.0
